source,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url
Nacer Nass,,Vive messi 👌,,,,,,,,,
Wagner Sousa,,"olha minha foto, sou parecido com o CR7",,,,,,,,,
YousSef ErFan,,علفكرة امزة ابو چونيور صاحبى وعلي قديمو يعني.,,,,,,,,,
Dominick Monteiro,,Wagner Sousa  CR7 da Deep Web.,,,,,,,,,
Wagner Sousa,,Todos falam sempre deep web,,,,,,,,,
فارس الكرادي,,Larissa Siqueira,,,,,,,,,
Khoa Hoang,,Larissa Siqueira,,,,,,,,,
Shkar Shaida,,Messi best player in the world  Just messi❤,,,,,,,,,
,,,,,,,,,,,
Ayeetan Emmanuel,,Lovely,,,,,,,,,
Mursal Rabb,,messi christmas,,,,,,,,,
Francesco Trombetta,,You've literally broken the balls dudes,,,,,,,,,
Gabriele Colucci,,A te è alla razza tua coglioni pakistani ronaldo è il migliore pezzi di merda 😂,,,,,,,,,
Ncamiso Scara Gwebu,,This is CR 7's page...so just go away with your cow Messi,,,,,,,,,
Honourable Ipharde Horlardimaji,,Mumu😂😂,,,,,,,,,
Nkhensani Mabunda,,U are lost,,,,,,,,,
Rahel Bahaden,,Bo 7alawe baska 😁😁,,,,,,,,,
Towsif Akash,,♥  is the best player in the world &  is the best club in the world.✌   From- #Bangladesh 🇧🇩.  .Ronaldo please come to #Islam.,,,,,,,,,
,,,,,,,,,,,
Bartosz Rozkiewicz,,Conor McGregor,,,,,,,,,
ՙՙ ՙՙ,,Add me,,,,,,,,,
Mohamed Yousop,,Cristianoo Ronaldoo Do you give me?Your phone number,,,,,,,,,
Mateusz Rachuba,,,,,,,,,,,
Sebin Kuttapayi,,Roraldo super,,,,,,,,,
Jesus Silva,,Como chingan,,,,,,,,,
Maria Amélia Nascimento,,Quem me dera estar junto dos meus filhos. Feliz Natal campeão. Que Deus te proteja sempre e aos teus. Abraço.,,,,,,,,,
Miguel Miguel Silva,,Maria Amélia Nascimento  muita força feliz Natal  🎄🙌,,,,,,,,,
Mini Segurola,,,,,,,,,,,
ليس وداعا,,💔,,,,,,,,,
Déborah Wright,,"Merry Christmas, Papa Cris, my wish will be to get you back to the REAL MADRID ❤️",,,,,,,,,
,,,,,,,,,,,
Douthuk Ginlunmang Tombing,,Nope we don't want him back.,,,,,,,,,
Kauã Silva,,Posta bosta,,,,,,,,,
Roger Souza,,Única pessoa q ta em tudo do cr7 kkk tu é a fã numero 1 👏❤,,,,,,,,,
Ash Wugemo Ashuo,,🙋,,,,,,,,,
Vinicius Silva,,#Halamadrid,,,,,,,,,
Amsyar Shafian,,Déborah Wright love you,,,,,,,,,
Darren Sherlock,,Déborah Wright once a red always a red mufc20,,,,,,,,,
Wolf Jack,,Riproduci video,,,,,,,,,
Brann Ollson,,Deborah wright get me  at real madird love you baby ❤,,,,,,,,,
Ariel Hernandez,,it will not come back yet that we are missing and iso istoria in Madrid is the only best in the world,,,,,,,,,
Andrea Pimentel,,"Cristiano Feliz Natal!!! Deus abençoe vc, a Georgina, Cristianinho, Matheo, Eva e Alana Martina! Muita saúde, paz e felicidade pra toda a sua família! Amo vcs!❤",,,,,,,,,
Ali Loucheni,,Andrea Pimentel don t forget djillali,,,,,,,,,
Ishak Farid,,Messi is far better than Ronaldo😘😘,,,,,,,,,
,,,,,,,,,,,
Junior Eugene,,Celebrate Jesus not Ronaldo or Messi,,,,,,,,,
Paula Branco,,,,,,,,,,,
David Simonyan,,Someone always has to ruin the fun,,,,,,,,,
Ali Haider,,Ishak Farid then what are you doing here??,,,,,,,,,
Raj Shekhar Kakoti,,Ishak Go Fck his page then!,,,,,,,,,
Bruno Henrique,,Ishak Farid ele nao esta disputando qm é melhor nao..ele só postou uma foto com a familia dele só isso!!,,,,,,,,,
Jery Sarero,,I replied late cause i was laughing at your stupidity,,,,,,,,,
Mehdi Lamari,,Jilali les homme,,,,,,,,,
Tatyana Costa,,"Essa mulher é extremamente sem graça, sem sal..nem açúcar! 😂😂😂",,,,,,,,,
,,,,,,,,,,,
Tatyana Costa,,"Gabriel Martins rsrsr..tenho todos, ainda! Feliz Natal meu amigo. Que Deus abençoe sua família.",,,,,,,,,
Renatta Rocha,,Maravilhosa eh tu!,,,,,,,,,
Mj Da Silva,,Kornelia Dujmovics Queen of what?!?! Because she open her legs to cris?!?! She is jobless... Lazy!! Doesn't want to work!!!,,,,,,,,,
Adryana Fernandes,,"Tatyana Costa como diz aqui no Ceará, tá uma verdeira cara de cu🤨🤣🤣🤣🤣",,,,,,,,,
Isabel Chagas,,Tatyana Costa  eu não ofendi você mas tem um pouquinho de inveja gostava de estar no lugar dela 😂😂😂😂😂 feliz Natal para você também 🥰🥰🥰🥰,,,,,,,,,
Khoa Hoang,,Tatyana Costa,,,,,,,,,
Yasmim Michelle,,Olha o veneno ! Eu pensei que era natal não dia das cobras 😂😂😂,,,,,,,,,
Cesar De Brito Amorim,,Tatyana Costa eita inveja da porra a família toda é linda se é o amor da vida dele respeita a vontade do cara,,,,,,,,,
Praia Diego,,Quem tem que gostar dela é ele e não tu 😌🤣,,,,,,,,,
Florinda Guimarães,,Se ela e' sem graca ja' se olhou ao espelho voce despeitada e feiona,,,,,,,,,
