source,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url
Donald J. Trump,2019-01-24,The State of the Union Address has been canceled by Nancy Pelosi because she doesn’t want to hear the truth and she doesn’t want the American public to know the TRUTH!,66661,52413,1279,5254,768,4142,2805,13.751,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548369841%3A04611686018427387904%3A09223372036854775788%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548369841%3A04611686018427387904%3A09223372036854775788%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-22,"As a candidate for President, I promised I would fix this crisis, and I intend to keep that promise one way or the other.",26188,21007,508,4542,27,12,92,3807,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548247250%3A04611686018427387904%3A09223372036854775783%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548247250%3A04611686018427387904%3A09223372036854775783%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-22,"My poll numbers have gone way up with Hispanics. That is because they know the border issue better than anyone, and they want security!",48616,41509,1169,5716,124,18,80,3735,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548247250%3A04611686018427387904%3A09223372036854775783%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548247250%3A04611686018427387904%3A09223372036854775783%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-22,"I can promise you this: I will never forget that my first duty, and ultimate loyalty, is to YOU, the American people.",39650,31725,720,7028,41,18,118,4965,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548247250%3A04611686018427387904%3A09223372036854775783%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548247250%3A04611686018427387904%3A09223372036854775783%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-21,“The fact that President Trump has been able to achieve so much of his agenda despite the coordinated campaign to defy him is astounding.”  So true. We've accomplished the unthinkable and we're still WINNING despite constant attacks!,68062,56569,1200,10.045,106,27,115,6832,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548247250%3A04611686018427387904%3A09223372036854775783%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548247250%3A04611686018427387904%3A09223372036854775783%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-22,"This is a commonsense compromise BOTH parties should embrace – it provides humanitarian relief, delivers real border security, and immediately reopens our federal government.",31459,26086,627,4538,52,20,136,5184,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548247250%3A04611686018427387904%3A09223372036854775783%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548247250%3A04611686018427387904%3A09223372036854775783%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-20,"Two years ago today, I promised: “Our country will THRIVE and PROSPER again.” We’re bringing back our jobs, securing our borders, restoring our wealth, and WINNING like never before. The forgotten men and women are no longer forgotten!🇺🇸",25721,20672,720,4179,42,15,93,4112,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548097201%3A04611686018427387904%3A09223372036854775778%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548097201%3A04611686018427387904%3A09223372036854775778%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-21,"Today we celebrate Dr. Martin Luther King, Jr. for standing up for the self-evident truth Americans hold so dear, that no matter what the color of our skin or the place of our birth, we are all created equal by God. https://bit.ly/2RUJNPO",51418,42608,703,7849,102,35,121,3726,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548097201%3A04611686018427387904%3A09223372036854775778%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548097201%3A04611686018427387904%3A09223372036854775778%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-21,"PROMISES MADE, PROMISES KEPT!",111221,94246,1670,14.962,172,28,143,5512,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548097201%3A04611686018427387904%3A09223372036854775778%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548097201%3A04611686018427387904%3A09223372036854775778%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-20,"Diamond And Silk have a message for Democrats and the media:  ""The American people aren’t blind, when we look at the mess on our southern border, we see it for what it is: A CRISIS.""",33023,29079,697,2925,96,91,135,3782,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548097201%3A04611686018427387904%3A09223372036854775778%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548097201%3A04611686018427387904%3A09223372036854775778%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
