source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Polpo di Stato,,2019-04-14 17:57:53,Facebook: ammazza la reach del Polpo di Stato Polpo di Stato: crea il Melanzagno Facebook: va in down in tutta Europa,145,116,15,11,3,,,6,269218907364578,/story.php?story_fbid=269218907364578&id=237264647226671
Polpo di Stato,,2019-04-14 13:05:00,dank0,29,27,,1,1,,,,267803780839424,/story.php?story_fbid=267803780839424&id=237264647226671
Polpo di Stato,,2019-04-14 11:05:16,🍆🕷️⭐,40,33,,7,,,,3,268744507412018,/story.php?story_fbid=268744507412018&id=237264647226671
Polpo di Stato,,2019-04-14 00:41:36,ｌｅ　ｍｕｒｅｎｅ　ｈａｎｎｏ　ｌｅ　ｇａｍｂｅ　ｃｏｒｔｅ,15,14,1,,,,,,268124024140733,/story.php?story_fbid=268124024140733&id=237264647226671
"Polpo di Stato,Cronache della bambina triggerata per la rivoluzione",Cronache della bambina triggerata per la rivoluzione,2019-04-13 21:46:48,hype,79,68,2,9,,,,,268728560746946,/story.php?story_fbid=268728560746946&id=237264647226671
Polpo di Stato,,2019-04-13 14:03:13,Mayo Ren,16,14,1,,1,,,,266167711003031,/story.php?story_fbid=266167711003031&id=237264647226671
Polpo di Stato,,2019-04-13 11:03:10,,168,127,23,17,1,,,3,265955964357539,/story.php?story_fbid=265955964357539&id=237264647226671
Polpo di Stato,,2019-04-13 00:19:19,rarissima f o t o p e n e  immortalata da piccione prima che l opera   f e m m i n i s t a venisse rimossa dal comune,30,22,4,4,,,,3,268120304141105,/story.php?story_fbid=268120304141105&id=237264647226671
Polpo di Stato,,2019-04-13 00:17:57,Fuoriorariomelanzagnoposting,25,17,2,4,2,,,1,266232227663246,/story.php?story_fbid=266232227663246&id=237264647226671
Polpo di Stato,,2019-04-12 20:01:35,Ｅ＇　ｖｅｒｏ　ｐｏｓｔｉａｍｏ　ｔｒｏｐｐｏ　ａｌｌｏｒａ　ｈｏ　ｆａｔｔｏ　ｑｕｅｓｔｏ　ｐｏｓｔ　ｐｅｒ　ａｕｍｅｎｔａｒｅ　ｌ＇ｅｎｔｒｏｐｉａａａａａａａａａａａ,107,83,6,16,2,,,4,268007207485748,/story.php?story_fbid=268007207485748&id=237264647226671
Polpo di Stato,,2019-04-12 18:15:00,Лайка баклажук❤️🐶🍆,35,28,,7,,,,,267794600840342,/story.php?story_fbid=267794600840342&id=237264647226671
Polpo di Stato,,2019-04-12 16:15:01,Юрий Алексеевич ГагаринYuri Alekseevich Gagarin,48,35,2,11,,,,2,267793010840501,/story.php?story_fbid=267793010840501&id=237264647226671
Polpo di Stato,,2019-04-12 14:45:01,,67,50,4,10,2,1,,3,267781627508306,/story.php?story_fbid=267781627508306&id=237264647226671
Polpo di Stato,,2019-04-12 12:55:00,Verso il comunismo e oltre! 🚀🛰🌠To communism and beyond! 🚀🛰🌠,95,77,10,8,,,,3,267782570841545,/story.php?story_fbid=267782570841545&id=237264647226671
Polpo di Stato,,2019-04-12 11:54:55,tra un po' è pasqua,35,25,5,5,,,,,267780247508444,/story.php?story_fbid=267780247508444&id=237264647226671
Polpo di Stato,,2019-04-12 09:04:26,[Entr'acte],131,108,9,14,,,,9,266582160961586,/story.php?story_fbid=266582160961586&id=237264647226671
Polpo di Stato,,2019-04-12 00:15:00,Fuoriorariocaccapost,39,29,3,4,3,,,,266032097683259,/story.php?story_fbid=266032097683259&id=237264647226671
Polpo di Stato,,2019-04-11 21:00:35,"Dal ""webFrom the "" web",464,367,27,70,,,,28,267413320878470,/story.php?story_fbid=267413320878470&id=237264647226671
Polpo di Stato,,2019-04-11 19:01:59,what year is this,271,208,37,23,1,,2,16,267219087564560,/story.php?story_fbid=267219087564560&id=237264647226671
Polpo di Stato,,2019-04-11 16:40:00,,117,88,4,25,,,,3,267195890900213,/story.php?story_fbid=267195890900213&id=237264647226671
Polpo di Stato,,2019-04-11 14:26:29,Aprire l'immagine per layer bonus,215,168,10,30,7,,,7,266891797597289,/story.php?story_fbid=266891797597289&id=237264647226671
Polpo di Stato,,2019-04-11 11:15:00,"NON AVETE CAPITO NULLA FASCI, GIÙ LE MANI ☠️☠️☠️🤞🤞🤞",150,116,,34,,,,10,266586554294480,/story.php?story_fbid=266586554294480&id=237264647226671
